Titulo,Autores,Categoria,Calificacion,Precio,"In Stock",Link
"Mesaerion: The Best Science Fiction Stories 1800-1849","Edgar Allan Poe, Nathaniel Hawthorne, Lydia Child, Thomas Charles Morgan, Percival Leigh, William Mudford, Frederick Marryat","Science Fiction",1,Â£37.59,"In stock",https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html
"Libertarianism for Beginners","Todd Seavey",Politics,2,Â£51.33,"In stock",https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html
"It's Only the Himalayas","S. Bedford",Travel,2,Â£45.17,"In stock",https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
"In Her Wake","K.A. Tucker",Thriller,1,Â£12.84,"In stock",https://books.toscrape.com/catalogue/in-her-wake_980/index.html
"How Music Works","David Byrne",Music,2,Â£37.32,"In stock",https://books.toscrape.com/catalogue/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More","America's Test Kitchen","Food and Drink",3,Â£30.52,"In stock",https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
"Chase Me (Paris Nights #2)","Laura Florand",Romance,5,Â£25.27,"In stock",https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
"Black Dust","William M. Frank",Romance,5,Â£34.53,"In stock",https://books.toscrape.com/catalogue/black-dust_976/index.html
"Birdsong: A Story in Pictures","James Sturm",Childrens,3,Â£54.64,"In stock",https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
"America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana","Wayne Stewart",Default,3,Â£22.50,"In stock",https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
"Aladdin and His Wonderful Lamp","Arthur Ransome, Thomas Mackenzie",Default,3,Â£53.13,"In stock",https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
"Worlds Elsewhere: Journeys Around Shakespeare’s Globe","Andrew Dickson",Nonfiction,5,Â£40.30,"In stock",https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
"Wall and Piece",Banksy,Art,4,Â£44.18,"In stock",https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
"The Four Agreements: A Practical Guide to Personal Freedom","Don Miguel Ruiz, Janet Mills",Spirituality,5,Â£17.66,"In stock",https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
"The Five Love Languages: How to Express Heartfelt Commitment to Your Mate","Gary D. Chapman",Nonfiction,3,Â£31.05,"In stock",https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
"The Elephant Tree","Penny Dale",Thriller,5,Â£23.82,"In stock",https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
"The Bear and the Piano","David Litchfield",Childrens,1,Â£36.89,"In stock",https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
"Sophie's World","Jostein Gaarder",Philosophy,5,Â£15.94,"In stock",https://books.toscrape.com/catalogue/sophies-world_966/index.html
"Penny Maybe","Kathleen Martin",Default,3,Â£33.29,"In stock",https://books.toscrape.com/catalogue/penny-maybe_965/index.html
"Maude (1883-1993):She Grew Up with the country","Mardo Williams",Default,2,Â£18.02,"In stock",https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood","Ruth Ware",Mystery,1,Â£19.63,"In stock",https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
"Behind Closed Doors","MARILYN. MOUNTFORD",Thriller,4,Â£52.22,"In stock",https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
"You can't bury them all: Poems","Patrick Woodcock",Poetry,2,Â£33.63,"In stock",https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
"Slow States of Collapse: Poems","Ashley-Elizabeth Best",Poetry,3,Â£57.31,"In stock",https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html
"Reasons to Stay Alive","Matt Haig",Nonfiction,2,Â£26.41,"In stock",https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html
"Private Paris (Private #10)","James Patterson, Mark T. Sullivan",Fiction,5,Â£47.61,"In stock",https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html
"#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.","Lucy Sheridan, Jo Westwood",Nonfiction,5,Â£23.11,"In stock",https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html
"Without Borders (Wanderlove #1)","Amanda Heger","New Adult",2,Â£45.07,"In stock",https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html
"When We Collided","Emery Lord",Contemporary,1,Â£31.77,"In stock",https://books.toscrape.com/catalogue/when-we-collided_955/index.html
"We Love You, Charlie Freeman","Kaitlyn Greenidge",Fiction,5,Â£50.27,"In stock",https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html
"Untitled Collection: Sabbath Poems 2014",Poetry,Poetry,4,Â£14.27,"In stock",https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness","Nathanael Johnson",Nonfiction,4,Â£44.18,"In stock",https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html
"Unicorn Tracks","Julia Ember",Fantasy,3,Â£18.78,"In stock",https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink","Richard L. Currier",History,1,Â£25.52,"In stock",https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html
"Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2)",CLAMP,"Sequential Art",1,Â£16.28,"In stock",https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html
"Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity","Douglas Rushkoff",Nonfiction,3,Â£31.12,"In stock",https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html
"This One Summer","Mariko Tamaki","Sequential Art",4,Â£19.49,"In stock",https://books.toscrape.com/catalogue/this-one-summer_947/index.html
Thirst,"Marina Yuszczuk",Fiction,5,Â£17.27,"In stock",https://books.toscrape.com/catalogue/thirst_946/index.html
"The Torch Is Passed: A Harding Family Story","Bill Powers","Add a comment",1,Â£19.09,"In stock",https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html
"The Secret of Dreadwillow Carse","Brian Farrey",Childrens,1,Â£56.13,"In stock",https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!","Ree Drummond","Food and Drink",1,Â£56.41,"In stock",https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html
"The Past Never Ends","Eelco Runia",Mystery,4,Â£56.50,"In stock",https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html
"The Natural History of Us (The Fine Art of Pretending #2)","Tom Sniegoski","Young Adult",3,Â£45.22,"In stock",https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
"The Nameless City (The Nameless City #1)","Faith Erin Hicks","Sequential Art",4,Â£38.16,"In stock",https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
"The Murder That Never Was (Forensic Instincts #5)","Jaden Skye",Fiction,3,Â£54.11,"In stock",https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
"The Most Perfect Thing: Inside (and Outside) a Bird's Egg","Tim Birkhead",Science,4,Â£42.96,"In stock",https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy","John P. Forsyth, Georg H. Eifert","Add a comment",4,Â£23.89,"In stock",https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
"The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing","Marie Kondo",Nonfiction,3,Â£16.77,"In stock",https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer","Helene Segura",Default,5,Â£20.59,"In stock",https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
"The Gutsy Girl: Escapades for Your Life of Epic Adventure","Caroline Paul",Nonfiction,1,Â£37.13,"In stock",https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
"The Electric Pencil: Drawings from Inside State Hospital No. 3","James Edward Deeds",Nonfiction,1,Â£56.06,"In stock",https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
"The Death of Humanity: and the Case for Life","Richard Weikart",Philosophy,4,Â£58.11,"In stock",https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life","Dave Asprey",Health,3,Â£49.05,"In stock",https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
"The Art Forger","B. A. Shapiro","Add a comment",3,Â£40.76,"In stock",https://books.toscrape.com/catalogue/the-art-forger_930/index.html
"The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind","A. C. Grayling",History,1,Â£19.73,"In stock",https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
"The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution","William Martin",Spirituality,5,Â£32.24,"In stock",https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
"Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up","Marie Kondo",Nonfiction,4,Â£41.83,"In stock",https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
"Soul Reader","Michel Prince",Default,2,Â£39.58,"In stock",https://books.toscrape.com/catalogue/soul-reader_926/index.html
Security,"Benjamin Graham, David Le Fevre Dodd",Horror,2,Â£39.25,"In stock",https://books.toscrape.com/catalogue/security_925/index.html
"Saga, Volume 6 (Saga (Collected Editions) #6)","Ruth Glover",Fantasy,3,Â£25.02,"In stock",https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
"Saga, Volume 5 (Saga (Collected Editions) #5)","Ruth Glover","Sequential Art",2,Â£51.04,"In stock",https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
"Reskilling America: Learning to Labor in the Twenty-First Century","Katherine S. Newman, Hella Winston",Nonfiction,2,Â£19.83,"In stock",https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)","Kurtis J. Wiebe","Sequential Art",3,Â£50.40,"In stock",https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)","Akiko Higashimura","Sequential Art",5,Â£13.61,"In stock",https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
"Princess Between Worlds (Wide-Awake Princess #5)","E.D. Baker",Fantasy,5,Â£13.34,"In stock",https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
"Pop Gun War, Volume 1: Gift","Farel Dalrymple","Sequential Art",1,Â£18.97,"In stock",https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics","Erin McHugh",History,2,Â£36.28,"In stock",https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
Patience,"Guy de Maupassant","Sequential Art",3,Â£10.16,"In stock",https://books.toscrape.com/catalogue/patience_916/index.html
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)","Robert Kirkman","Sequential Art",4,Â£15.44,"In stock",https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
"orange: The Complete Collection 1 (orange: The Complete Collection #1)","Ichigo Takano","Sequential Art",1,Â£48.41,"In stock",https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
"Online Marketing for Busy Authors: A Step-By-Step Guide","Fauzia Burke","Self Help",1,Â£46.35,"In stock",https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
"On a Midnight Clear","Henry Hoffman","Add a comment",3,Â£14.07,"In stock",https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
"Obsidian (Lux #1)","Jennifer L. Armentrout","Young Adult",2,Â£14.86,"In stock",https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
"My Paris Kitchen: Recipes and Stories","David Lebovitz","Food and Drink",2,Â£33.37,"In stock",https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
"Masks and Shadows","NICOLLE. MAY",Fantasy,2,Â£56.40,"In stock",https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed","Cecilia Granata","Food and Drink",4,Â£14.02,"In stock",https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)","Noelle Stevenson, Grace Ellis","Sequential Art",2,Â£46.91,"In stock",https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)","Noelle Stevenson, Grace Ellis","Sequential Art",3,Â£45.61,"In stock",https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
"Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12)","Shannon Watters, ND Stevenson, Grace Ellis, Gus Allen","Sequential Art",2,Â£19.92,"In stock",https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
"Layered: Baking, Building, and Styling Spectacular Cakes","Tessa Huff","Food and Drink",1,Â£40.11,"In stock",https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
"Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners)","Rodolfo Tello","Add a comment",2,Â£53.90,"In stock",https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
Join,"Ochoa, Collins","Science Fiction",5,Â£35.67,"In stock",https://books.toscrape.com/catalogue/join_902/index.html
"In the Country We Love: My Family Divided","Diane Guerrero, Michelle Burford",Nonfiction,4,Â£22.00,"In stock",https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
"Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine","Luba Vikhanski",Science,5,Â£57.36,"In stock",https://books.toscrape.com/catalogue/immunity-how-elie-metchnikoff-changed-the-course-of-modern-medicine_900/index.html
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)","Skottie Young","Sequential Art",2,Â£29.17,"In stock",https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html
"I am a Hero Omnibus Volume 1","Kengo Hanzawa","Sequential Art",3,Â£54.63,"In stock",https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html
"How to Be Miserable: 40 Strategies You Already Use","Randy J. Paterson","Self Help",1,Â£46.03,"In stock",https://books.toscrape.com/catalogue/how-to-be-miserable-40-strategies-you-already-use_897/index.html
"Her Backup Boyfriend (The Sorensen Family #1)","Ashlee Mallory",Romance,1,Â£33.97,"In stock",https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html
"Giant Days, Vol. 2 (Giant Days #5-8)","John Allison","Sequential Art",2,Â£22.11,"In stock",https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html
"Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton","Josi S. Kilpack","Historical Fiction",3,Â£29.69,"In stock",https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html
"First and First (Five Boroughs #3)","Santino Hassell",Romance,4,Â£15.97,"In stock",https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html
"Fifty Shades Darker (Fifty Shades #2)","E L James",Romance,1,Â£21.96,"In stock",https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html
"Everydata: The Misinformation Hidden in the Little Data You Consume Every Day","John H. Johnson",Nonfiction,2,Â£54.35,"In stock",https://books.toscrape.com/catalogue/everydata-the-misinformation-hidden-in-the-little-data-you-consume-every-day_891/index.html
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master","Brad Warner",Religion,2,Â£37.97,"In stock",https://books.toscrape.com/catalogue/dont-be-a-jerk-and-other-practical-advice-from-dogen-japans-greatest-zen-master_890/index.html
"Danganronpa Volume 1","Spike Chunsoft","Sequential Art",4,Â£51.99,"In stock",https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html
"Crown of Midnight (Throne of Glass #2)","Sarah J. Maas",Fantasy,3,Â£43.29,"In stock",https://books.toscrape.com/catalogue/crown-of-midnight-throne-of-glass-2_888/index.html
"Codename Baboushka, Volume 1: The Conclave of Death","Antony Johnston","Sequential Art",4,Â£36.72,"In stock",https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html
"Camp Midnight","Steven T. Seagle","Sequential Art",4,Â£17.08,"In stock",https://books.toscrape.com/catalogue/camp-midnight_886/index.html
"Call the Nurse: True Stories of a Country Nurse on a Scottish Isle","Mary J. MacLeod",Nonfiction,5,Â£29.14,"In stock",https://books.toscrape.com/catalogue/call-the-nurse-true-stories-of-a-country-nurse-on-a-scottish-isle_885/index.html
Burning,"William Gibson","Young Adult",3,Â£28.81,"In stock",https://books.toscrape.com/catalogue/burning_884/index.html
Bossypants,"Tina Fey",Default,2,Â£49.46,"In stock",https://books.toscrape.com/catalogue/bossypants_883/index.html
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))","Kelly Sue DeConnick","Sequential Art",2,Â£37.92,"In stock",https://books.toscrape.com/catalogue/bitch-planet-vol-1-extraordinary-machine-bitch-planet-collected-editions_882/index.html
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)","Gene Luen Yang",Fantasy,2,Â£28.09,"In stock",https://books.toscrape.com/catalogue/avatar-the-last-airbender-smoke-and-shadow-part-3-smoke-and-shadow-3_881/index.html
"Algorithms to Live By: The Computer Science of Human Decisions","Brian Christian, Tom Griffiths",Nonfiction,1,Â£30.81,"In stock",https://books.toscrape.com/catalogue/algorithms-to-live-by-the-computer-science-of-human-decisions_880/index.html
"A World of Flavor: Your Gluten Free Passport","Barrett Williams, ChatGPT",Default,1,Â£42.95,"In stock",https://books.toscrape.com/catalogue/a-world-of-flavor-your-gluten-free-passport_879/index.html
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations","Christine Hale",Default,5,Â£56.76,"In stock",https://books.toscrape.com/catalogue/a-piece-of-sky-a-grain-of-rice-a-memoir-in-four-meditations_878/index.html
"A Murder in Time","Julie McElwain",Mystery,1,Â£16.64,"In stock",https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html
"A Flight of Arrows (The Pathfinders #2)","Lori Benton","Historical Fiction",5,Â£55.53,"In stock",https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html
"A Fierce and Subtle Poison","Samantha Mabry","Young Adult",4,Â£28.13,"In stock",https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html
"A Court of Thorns and Roses (A Court of Thorns and Roses #1)","Sarah J. Maas",Fantasy,1,Â£52.37,"In stock",https://books.toscrape.com/catalogue/a-court-of-thorns-and-roses-a-court-of-thorns-and-roses-1_874/index.html
"(Un)Qualified: How God Uses Broken People to Do Big Things","Steven Furtick",Christian,5,Â£54.00,"In stock",https://books.toscrape.com/catalogue/unqualified-how-god-uses-broken-people-to-do-big-things_873/index.html
"You Are What You Love: The Spiritual Power of Habit","James K. A. Smith",Religion,4,Â£21.87,"In stock",https://books.toscrape.com/catalogue/you-are-what-you-love-the-spiritual-power-of-habit_872/index.html
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)","Ian Doescher","Science Fiction",4,Â£43.30,"In stock",https://books.toscrape.com/catalogue/william-shakespeares-star-wars-verily-a-new-hope-william-shakespeares-star-wars-4_871/index.html
"Tuesday Nights in 1980","Molly Prentiss",Fiction,2,Â£21.04,"In stock",https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html
"Tracing Numbers on a Train","James McDonald, Rebecca McDonald",Default,3,Â£41.60,"In stock",https://books.toscrape.com/catalogue/tracing-numbers-on-a-train_869/index.html
"Throne of Glass (Throne of Glass #1)","Sarah J. Maas",Fantasy,3,Â£35.07,"In stock",https://books.toscrape.com/catalogue/throne-of-glass-throne-of-glass-1_868/index.html
"Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History","Brian Kilmeade, Don Yaeger",History,1,Â£59.64,"In stock",https://books.toscrape.com/catalogue/thomas-jefferson-and-the-tripoli-pirates-the-forgotten-war-that-changed-american-history_867/index.html
"Thirteen Reasons Why","Jay Asher",Default,1,Â£52.72,"In stock",https://books.toscrape.com/catalogue/thirteen-reasons-why_866/index.html
"The White Cat and the Monk: A Retelling of the Poem â??Pangur BÃ¡nâ??","Jo Ellen Bogart",Childrens,4,Â£58.08,"In stock",https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html
"The Wedding Dress","Clare Gibson",Romance,1,Â£24.12,"In stock",https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html
"The Vacationers","Emma Straub",Fiction,4,Â£42.15,"In stock",https://books.toscrape.com/catalogue/the-vacationers_863/index.html
"The Third Wave: An Entrepreneurâ??s Vision of the Future","Steve Case",Business,5,Â£12.61,"In stock",https://books.toscrape.com/catalogue/the-third-wave-an-entrepreneurs-vision-of-the-future_862/index.html
"The Stranger","Saskia Sarginson",Philosophy,4,Â£17.44,"In stock",https://books.toscrape.com/catalogue/the-stranger_861/index.html
"The Shadow Hero (The Shadow Hero)","Gene Luen Yang","Sequential Art",1,Â£33.14,"In stock",https://books.toscrape.com/catalogue/the-shadow-hero-the-shadow-hero_860/index.html
"The Secret (The Secret #1)","Teju Oyelakin",Default,4,Â£27.37,"In stock",https://books.toscrape.com/catalogue/the-secret-the-secret-1_859/index.html
"The Regional Office Is Under Attack!","Manuel Gonzales",Fiction,5,Â£51.36,"In stock",https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html
